[2019-12-16 01:55:11,998] INFO Reading configuration from: ..\..\config\zookeeper.properties (org.apache.zookeeper.server.quorum.QuorumPeerConfig)
[2019-12-16 01:55:12,011] INFO autopurge.snapRetainCount set to 3 (org.apache.zookeeper.server.DatadirCleanupManager)
[2019-12-16 01:55:12,012] INFO autopurge.purgeInterval set to 0 (org.apache.zookeeper.server.DatadirCleanupManager)
[2019-12-16 01:55:12,012] INFO Purge task is not scheduled. (org.apache.zookeeper.server.DatadirCleanupManager)
[2019-12-16 01:55:12,012] WARN Either no config or no quorum defined in config, running  in standalone mode (org.apache.zookeeper.server.quorum.QuorumPeerMain)
[2019-12-16 01:55:12,043] INFO Reading configuration from: ..\..\config\zookeeper.properties (org.apache.zookeeper.server.quorum.QuorumPeerConfig)
[2019-12-16 01:55:12,046] INFO Starting server (org.apache.zookeeper.server.ZooKeeperServerMain)
[2019-12-16 01:55:21,088] INFO Server environment:zookeeper.version=3.4.14-4c25d480e66aadd371de8bd2fd8da255ac140bcf, built on 03/06/2019 16:18 GMT (org.apache.zookeeper.server.ZooKeeperServer)
[2019-12-16 01:55:21,090] INFO Server environment:host.name=169.254.121.82 (org.apache.zookeeper.server.ZooKeeperServer)
[2019-12-16 01:55:21,090] INFO Server environment:java.version=1.8.0_181 (org.apache.zookeeper.server.ZooKeeperServer)
[2019-12-16 01:55:21,091] INFO Server environment:java.vendor=Oracle Corporation (org.apache.zookeeper.server.ZooKeeperServer)
[2019-12-16 01:55:21,091] INFO Server environment:java.home=C:\Program Files (x86)\Java\jdk1.8.0_181\jre (org.apache.zookeeper.server.ZooKeeperServer)
